transaction_ref,account_id,statement_no,opening_balance,date,dr_cr,amount,txn_type,ref,narration
,,,,01/03/2024,C,3891.15,CHER,EF00390,Transaction number 390
,,,,11/03/2024,C,2718.33,TRFR,EF00391,Transaction number 391
,,,,27/01/2024,D,3781.54,CHER,EF00392,Transaction number 392
,,,,16/04/2024,D,2333.96,CHGR,EF00393,Transaction number 393
,,,,07/04/2024,D,1887.61,CHGR,EF00394,Transaction number 394
,,,,16/03/2024,C,575.27,TRFR,EF00395,Transaction number 395
,,,,31/03/2024,D,3081.78,TRFR,EF00396,Transaction number 396
,,,,30/01/2024,C,4412.59,TRFR,EF00397,Transaction number 397
,,,,25/03/2024,D,3505.21,DIVR,EF00398,Transaction number 398
,,,,04/02/2024,C,353.86,CHGR,EF00399,Transaction number 399
,,,,17/02/2024,D,4655.61,CHER,EF00400,Transaction number 400
,,,,29/03/2024,C,2539.92,CHGR,EF00401,Transaction number 401
,,,,01/01/2024,C,4565.79,CHGR,EF00402,Transaction number 402
,,,,21/04/2024,D,2474.37,DIVR,EF00403,Transaction number 403
,,,,23/04/2024,C,2979.3,CHGR,EF00404,Transaction number 404
,,,,30/03/2024,C,1734.78,CHGR,EF00405,Transaction number 405
,,,,02/03/2024,C,2032.48,MSVR,EF00406,Transaction number 406
,,,,06/04/2024,D,3612.12,DIVR,EF00407,Transaction number 407
,,,,23/02/2024,C,2337.26,TRFR,EF00408,Transaction number 408
,,,,27/03/2024,C,2727.59,DIVR,EF00409,Transaction number 409
,,,,15/03/2024,D,2688.55,TRFR,EF00410,Transaction number 410
,,,,25/02/2024,C,2170.34,DIVR,EF00411,Transaction number 411
,,,,18/02/2024,D,4814.34,CHER,EF00412,Transaction number 412
,,,,07/03/2024,D,2872.54,MSVR,EF00413,Transaction number 413
,,,,20/03/2024,D,3415.27,DIVR,EF00414,Transaction number 414
,,,,10/04/2024,C,2145.93,DIVR,EF00415,Transaction number 415
,,,,29/01/2024,C,2888.69,CHGR,EF00416,Transaction number 416
,,,,01/02/2024,D,884.02,CHER,EF00417,Transaction number 417
,,,,18/03/2024,C,862.08,CHGR,EF00418,Transaction number 418
,,,,19/02/2024,D,1138.46,CHGR,EF00419,Transaction number 419
,,,,11/04/2024,C,1400,CHER,EF00420,Transaction number 420
,,,,02/01/2024,C,1291.7,TRFR,EF00421,Transaction number 421
,,,,10/01/2024,C,1103.63,MSVR,EF00422,Transaction number 422
,,,,02/03/2024,C,4862.76,MSVR,EF00423,Transaction number 423
,,,,02/01/2024,C,4857.31,TRFR,EF00424,Transaction number 424
,,,,10/03/2024,C,4990.67,TRFR,EF00425,Transaction number 425
,,,,11/04/2024,C,861.18,DIVR,EF00426,Transaction number 426
,,,,20/02/2024,D,3016.51,CHER,EF00427,Transaction number 427
,,,,12/01/2024,D,4880.24,CHER,EF00428,Transaction number 428
,,,,27/03/2024,C,434.89,MSVR,EF00429,Transaction number 429
,,,,28/04/2024,D,4352.61,MSVR,EF00430,Transaction number 430
,,,,21/03/2024,D,1881.07,CHGR,EF00431,Transaction number 431
,,,,16/04/2024,D,1249.8,DIVR,EF00432,Transaction number 432
,,,,16/02/2024,C,2502.2,CHGR,EF00433,Transaction number 433
,,,,17/02/2024,D,2788.82,TRFR,EF00434,Transaction number 434
,,,,04/02/2024,C,532.81,CHER,EF00435,Transaction number 435
,,,,30/01/2024,D,578.57,CHGR,EF00436,Transaction number 436
,,,,23/03/2024,C,4986.73,CHER,EF00437,Transaction number 437
,,,,16/01/2024,D,3142.69,MSVR,EF00438,Transaction number 438
,,,,04/04/2024,D,2733.15,DIVR,EF00439,Transaction number 439
,,,,31/01/2024,D,1114.19,CHER,EF00440,Transaction number 440
,,,,14/02/2024,C,1704.69,CHGR,EF00441,Transaction number 441
,,,,08/01/2024,D,1734.01,CHER,EF00442,Transaction number 442
,,,,10/03/2024,D,1032.08,CHER,EF00443,Transaction number 443
,,,,31/03/2024,D,542.37,CHGR,EF00444,Transaction number 444
,,,,19/04/2024,C,4618,DIVR,EF00445,Transaction number 445
,,,,20/01/2024,C,1700.01,DIVR,EF00446,Transaction number 446
,,,,20/01/2024,C,3364.28,TRFR,EF00447,Transaction number 447
,,,,23/01/2024,C,2288.76,CHGR,EF00448,Transaction number 448
,,,,08/01/2024,C,1988.63,CHGR,EF00449,Transaction number 449
,,,,12/02/2024,C,3475.83,CHER,EF00450,Transaction number 450
,,,,14/02/2024,D,3344.15,DIVR,EF00451,Transaction number 451
,,,,01/04/2024,D,2232.52,TRFR,EF00452,Transaction number 452
,,,,06/02/2024,D,2387.19,DIVR,EF00453,Transaction number 453
,,,,15/01/2024,C,1792.65,MSVR,EF00454,Transaction number 454
,,,,18/02/2024,D,721.2,DIVR,EF00455,Transaction number 455
,,,,06/04/2024,D,162.64,CHER,EF00456,Transaction number 456
,,,,04/02/2024,C,4260.62,TRFR,EF00457,Transaction number 457
,,,,29/02/2024,C,4070.34,MSVR,EF00458,Transaction number 458
,,,,27/04/2024,D,1609.16,TRFR,EF00459,Transaction number 459
,,,,12/04/2024,C,3513.41,CHER,EF00460,Transaction number 460
,,,,09/01/2024,D,628.68,CHGR,EF00461,Transaction number 461
,,,,29/04/2024,D,1686.84,CHER,EF00462,Transaction number 462
,,,,22/03/2024,C,4765.29,CHER,EF00463,Transaction number 463
,,,,06/04/2024,C,4389.38,TRFR,EF00464,Transaction number 464
,,,,09/03/2024,D,1646.71,DIVR,EF00465,Transaction number 465
,,,,31/01/2024,D,3805.27,CHER,EF00466,Transaction number 466
,,,,19/03/2024,D,2225.71,CHGR,EF00467,Transaction number 467
,,,,30/01/2024,D,2928.35,CHGR,EF00468,Transaction number 468
,,,,24/03/2024,C,4446.48,MSVR,EF00469,Transaction number 469
,,,,21/01/2024,C,1431.19,DIVR,EF00470,Transaction number 470
,,,,02/04/2024,C,2129.75,TRFR,EF00471,Transaction number 471
,,,,17/02/2024,D,4005.05,TRFR,EF00472,Transaction number 472
,,,,11/02/2024,C,1745.29,MSVR,EF00473,Transaction number 473
,,,,05/04/2024,D,1627.57,CHER,EF00474,Transaction number 474
,,,,21/04/2024,D,4269.25,MSVR,EF00475,Transaction number 475
,,,,04/01/2024,D,3056.18,CHER,EF00476,Transaction number 476
,,,,07/02/2024,C,3535.69,MSVR,EF00477,Transaction number 477
,,,,17/03/2024,D,4047.09,CHER,EF00478,Transaction number 478
,,,,07/02/2024,C,4674.46,TRFR,EF00479,Transaction number 479
,,,,06/01/2024,D,4833.21,DIVR,EF00480,Transaction number 480
,,,,22/04/2024,C,1981.62,CHER,EF00481,Transaction number 481
,,,,31/01/2024,C,4191.72,TRFR,EF00482,Transaction number 482
,,,,28/03/2024,C,3803.87,TRFR,EF00483,Transaction number 483
,,,,11/01/2024,C,3759.58,CHGR,EF00484,Transaction number 484
,,,,17/01/2024,C,1436.84,CHER,EF00485,Transaction number 485
,,,,07/04/2024,C,1893.71,DIVR,EF00486,Transaction number 486
,,,,17/01/2024,C,77.91,TRFR,EF00487,Transaction number 487
,,,,07/03/2024,C,4984.33,CHGR,EF00488,Transaction number 488
,,,,15/04/2024,D,2324.38,DIVR,EF00489,Transaction number 489
,,,,15/04/2024,D,1177.38,CHGR,EF00490,Transaction number 490
,,,,22/02/2024,D,1542.46,CHER,EF00491,Transaction number 491
,,,,19/02/2024,C,4440.98,CHGR,EF00492,Transaction number 492
,,,,23/04/2024,C,1366.62,DIVR,EF00493,Transaction number 493
,,,,03/02/2024,D,3577.67,DIVR,EF00494,Transaction number 494
,,,,02/02/2024,D,1402.66,DIVR,EF00495,Transaction number 495
,,,,01/03/2024,C,3968,MSVR,EF00496,Transaction number 496
,,,,16/04/2024,C,2634.65,CHER,EF00497,Transaction number 497
,,,,17/04/2024,D,975.58,CHER,EF00498,Transaction number 498
,,,,09/02/2024,C,1362.17,DIVR,EF00499,Transaction number 499
